CP,Type,NOM,COMMUNE,FAUTEUIL,Public,ECRAN,SOUS_TYPE_THEMATIQUE,GCD,LATTI,LONGI,codeReg,nomReg,numdep,nomdept
17240,Cinéma,Jeanne D Arc,SAINT-GENIS-DE-SAINTONGE,282.0,,1.0,Cinéma,5 - Bourgs ruraux,45.48342728,-0.56717292,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17310,Cinéma,Eldorado,SAINT-PIERRE-D_OLÉRON,630.0,,3.0,Cinéma,5 - Bourgs ruraux,45.9434485,-1.30851899,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17380,Cinéma,Cine Rex,TONNAY-BOUTONNE,173.0,,1.0,Cinéma,5 - Bourgs ruraux,45.96630659,-0.70533791,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17390,Cinéma,Le Cristal,LA_TREMBLADE,259.0,,1.0,Cinéma,3 - Petites villes,45.79610022,-1.16598764,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
18400,Cinéma,Rio,SAINT-FLORENT-SUR-CHER,286.0,,1.0,Cinéma,3 - Petites villes,46.9964035,2.2522835,24,Centre-Val de Loire,18,CHER
19250,Cinéma,Le Soubise,MEYMAC,244.0,,1.0,Cinéma,5 - Bourgs ruraux,45.53265382,2.14703162,75,Nouvelle-Aquitaine,19,CORREZE
21800,Cinéma,Cine Cap Vert,QUETIGNY,2376.0,,12.0,Cinéma,2 - Centres urbains intermédiaires,47.31264963,5.09100425,27,Bourgogne-Franche-Comté,21,COTE-D OR
22300,Cinéma,Les Baladins,LANNION,828.0,,5.0,Cinéma,3 - Petites villes,48.72757865,-3.46094819,53,Bretagne,22,COTES-D ARMOR
22600,Cinéma,Quai des Images,LOUDÉAC,409.0,,2.0,Cinéma,3 - Petites villes,48.172681,-2.751236,53,Bretagne,22,COTES-D ARMOR
22410,Cinéma,Arletty,SAINT-QUAY-PORTRIEUX,167.0,,1.0,Cinéma,3 - Petites villes,48.65032206,-2.83151543,53,Bretagne,22,COTES-D ARMOR
23800,Cinéma,Salle des Fetes,DUN-LE-PALESTEL,200.0,,1.0,Cinéma,6 - Rural à habitat dispersé,46.300709,1.673061,75,Nouvelle-Aquitaine,23,CREUSE
24480,Cinéma,Lux Louis delluc,LE_BUISSON-DE-CADOUIN,281.0,,2.0,Cinéma,5 - Bourgs ruraux,44.84506609,0.90896531,75,Nouvelle-Aquitaine,24,DORDOGNE
24290,Cinéma,Vox,MONTIGNAC-LASCAUX,176.0,,1.0,Cinéma,5 - Bourgs ruraux,45.06384452,1.16334004,75,Nouvelle-Aquitaine,24,DORDOGNE
24410,Cinéma,Studio,SAINT_AULAYE-PUYMANGOU,186.0,,1.0,Cinéma,5 - Bourgs ruraux,45.20198123,0.13499374,75,Nouvelle-Aquitaine,24,DORDOGNE
24800,Cinéma,Le Clair,THIVIERS,173.0,,1.0,Cinéma,5 - Bourgs ruraux,45.4133041,0.91887826,75,Nouvelle-Aquitaine,24,DORDOGNE
24350,Cinéma,Cine Passion,TOCANE-SAINT-APRE,200.0,,1.0,Cinéma,5 - Bourgs ruraux,45.252655,0.493333,75,Nouvelle-Aquitaine,24,DORDOGNE
