NOM,CP,DOMAINE_SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg,ENTRE_GRATUIT,ENTRE_PAYANT,ENTRE_TOTAL
musée national du château de Compiègne,60200,Arts décoratif,COMPIEGNE,60,OISE,Hauts-de-France,32,25976.0,19819.0,45795.0
musée de la Figurine historique,60200,Histoire,COMPIEGNE,60,OISE,Hauts-de-France,32,2821.0,1353.0,4174.0
musée Antoine Vivenel,60200,Archéologie,COMPIEGNE,60,OISE,Hauts-de-France,32,8692.0,796.0,9488.0
musée de la voiture et du tourisme (annexe du musée national du château de Compiègne),60200,Sciences de la nature,COMPIEGNE,60,OISE,Hauts-de-France,32,,,
musée de la céramique architecturale et industrielle,60390,Arts décoratif,AUNEUIL,60,OISE,Hauts-de-France,32,,,
musée Jean Calvin,60400,Histoire,NOYON,60,OISE,Hauts-de-France,32,250.0,531.0,781.0
musée du Noyonnais,60400,Archéologie,NOYON,60,OISE,Hauts-de-France,32,949.0,448.0,1397.0
Institut Polytechnique Unilasalle,60000,Archéologie,BEAUVAIS,60,OISE,Hauts-de-France,32,,,
MUDO - musée de l Oise,60000,Archéologie,BEAUVAIS,60,OISE,Hauts-de-France,32,35161.0,0.0,35161.0
Musée d art contemporain de Lyon,69550,Musées,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
musée d Art Contemporain,69550,Art,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,20546.0,14278.0,34824.0
musée Barthélemy Thimonnier,69550,Histoire,AMPLEPUIS,69,RHONE,Auvergne-Rhône-Alpes,84,569.0,1516.0,2085.0
Class Code,69100,Art,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Littérature jeunesse libre,69100,Sciences de la nature,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Audiovisit,69300,Art,CALUIRE-ET-CUIRE,69,RHONE,Auvergne-Rhône-Alpes,84,,,
musée des arts décoratifs,69002,,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Association Superposition,69170,Art,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Villes et Pays d art et d histoire,69170,Histoire,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
musée des beaux-arts,69170,Arts décoratif,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,63650.0,80797.0,144447.0
musée Marius Audin,69430,Ethnologie,BEAUJEU,69,RHONE,Auvergne-Rhône-Alpes,84,494.0,454.0,948.0
Auvergne-Rhône-Alpes Livre et Lecture,69380,Sciences de la nature,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Culture accessible,69380,Arts décoratif,CHAZAY D_AZERGUES,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Centre d Histoire de la Résistance et de la Déportation,69420,Histoire,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,10398.0,11559.0,21957.0
Pop Sciences - Université de Lyon,69420,Sciences de la nature,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Musée des Tissus,69420,Arts décoratif,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Musées Gadagne,69480,Arts décoratif,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,,,
Lugdunum-musée et théâtres romains,69480,Archéologie,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,29081.0,20835.0,49916.0
musée Gadagne,69480,Archéologie,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,18532.0,14747.0,33279.0
musée des sapeurs-pompiers de Lyon,69480,Histoire,LYON,69,RHONE,Auvergne-Rhône-Alpes,84,7152.0,1987.0,9139.0
Musée et sites gallo-romains,69560,Archéologie,SAINT-ROMAIN-EN-GAL,69,RHONE,Auvergne-Rhône-Alpes,84,,,
