nomcom,nomdept,revenu_moyene_foyer
AAST,PYRENEES-ATLANTIQUES,16120.869
ABAINVILLE,MEUSE,14680.935
ABANCOURT,NORD,17887.766
ABANCOURT,OISE,12456.799
ABAUCOURT,MEURTHE-ET-MOSELLE,18999.574
ABAUCOURT-HAUTECOURT,MEUSE,9642.9785
ABBANS-DESSOUS,DOUBS,14967.66
ABBANS-DESSUS,DOUBS,16213.097
ABBARETZ,LOIRE-ATLANTIQUE,12567.249
ABBECOURT,AISNE,18165.857
ABBECOURT,OISE,21976.801
ABBENANS,DOUBS,13904.26
ABBEVILLE,SOMME,15153.529
ABBEVILLE-LA-RIVIERE,ESSONNE,20759.059
ABBEVILLE-LES-CONFLANS,MEURTHE-ET-MOSELLE,16565.678
ABBEVILLE-SAINT-LUCIEN,OISE,26381.463
ABBEVILLERS,DOUBS,24000.814
ABEILHAN,HERAULT,14088.518
ABELCOURT,HAUTE-SAONE,12386.769
ABERE,PYRENEES-ATLANTIQUES,12520.648
ABERGEMENT-LA-RONCE,JURA,15767.372
ABERGEMENT-LE-GRAND,JURA,12471.787
ABERGEMENT-LE-PETIT,JURA,16929.127
ABERGEMENT-LES-THESY,JURA,14162.16
ABIDOS,PYRENEES-ATLANTIQUES,16795.449
ABILLY,INDRE-ET-LOIRE,14681.913
ABITAIN,PYRENEES-ATLANTIQUES,14611.144
ABLAIN-SAINT-NAZAIRE,PAS-DE-CALAIS,22102.402
ABLAINCOURT-PRESSOIR,SOMME,15429.684
ABLAINZEVELLE,PAS-DE-CALAIS,12729.001
ABLANCOURT,MARNE,14564.788
ABLEIGES,VAL-D OISE,19422.578
ABLIS,YVELINES,19349.182
ABLON,CALVADOS,20905.592
ABLON-SUR-SEINE,VAL-DE-MARNE,17844.633
ABOEN,LOIRE,16037.09
ABONCOURT,MEURTHE-ET-MOSELLE,13447.687
ABONCOURT,MOSELLE,15087.916
ABONCOURT-GESINCOURT,HAUTE-SAONE,12235.029
ABONCOURT-SUR-SEILLE,MOSELLE,12649.525
ABONDANCE,HAUTE-SAVOIE,20155.143
ABONDANT,EURE-ET-LOIR,19615.742
ABOS,PYRENEES-ATLANTIQUES,16280.252
ABRESCHVILLER,MOSELLE,18130.953
ABREST,ALLIER,16462.68
ABRIES,HAUTES-ALPES,20354.332
ABSCON,NORD,12069.169
ABZAC,CHARENTE,14904.582
ABZAC,GIRONDE,14799.71
ACCOLANS,DOUBS,14803.512
ACCONS,ARDECHE,21307.258
ACCOUS,PYRENEES-ATLANTIQUES,12894.354
ACHAIN,MOSELLE,8126.3076
ACHEN,MOSELLE,16630.473
ACHENHEIM,BAS-RHIN,30235.904
ACHERES,CHER,16161.5
ACHERES,YVELINES,18125.264
ACHERES-LA-FORET,SEINE-ET-MARNE,39531.379
ACHERY,AISNE,16416.549
ACHEUX-EN-AMIENOIS,SOMME,14252.771
ACHEUX-EN-VIMEU,SOMME,13742.912
ACHEVILLE,PAS-DE-CALAIS,19919.744
ACHEY,HAUTE-SAONE,21492.35
ACHICOURT,PAS-DE-CALAIS,18492.893
ACHIET-LE-GRAND,PAS-DE-CALAIS,15813.034
ACHIET-LE-PETIT,PAS-DE-CALAIS,20357.662
ACHUN,NIEVRE,13103.781
ACHY,OISE,17414.045
ACIGNE,ILLE-ET-VILAINE,19270.439
ACLOU,EURE,12613.655
ACON,EURE,18981.984
ACQ,PAS-DE-CALAIS,21234.424
ACQUIGNY,EURE,21792.119
ACQUIN-WESTBECOURT,PAS-DE-CALAIS,14484.526
ACY,AISNE,16494.764
ACY-EN-MULTIEN,OISE,16716.338
ACY-ROMANCE,ARDENNES,19695.381
ADAINCOURT,MOSELLE,20634.004
ADAINVILLE,YVELINES,27304.076
ADAM-LES-PASSAVANT,DOUBS,16303.651
ADAM-LES-VERCEL,DOUBS,17571.582
ADAMSWILLER,BAS-RHIN,17118.547
ADAST,HAUTES-PYRENEES,13979.517
ADE,HAUTES-PYRENEES,15925.074
ADELANGE,MOSELLE,19128.783
ADERVIELLE-POUCHERGUES,HAUTES-PYRENEES,17878.541
ADILLY,DEUX-SEVRES,16367.386
ADINFER,PAS-DE-CALAIS,15013.855
ADISSAN,HERAULT,13247.541
ADON,LOIRET,13695.808
ADRIERS,VIENNE,13615.298
AFA,CORSE-DU-SUD,21183.779
AFFIEUX,CORREZE,14756.091
AFFLEVILLE,MEURTHE-ET-MOSELLE,16167.006
AFFOUX,RHONE,17500.34
AFFRACOURT,MEURTHE-ET-MOSELLE,20805.729
AFFRINGUES,PAS-DE-CALAIS,16126.244
AGASSAC,HAUTE-GARONNE,15610.264
AGDE,HERAULT,17783.482
AGEL,HERAULT,12075.67
AGEN,LOT-ET-GARONNE,15208.158
AGEN-D AVEYRON,AVEYRON,21995.09
AGENCOURT,COTE-D OR,12955.368
AGENVILLE,SOMME,12766.73
AGENVILLERS,SOMME,13015.982
AGEVILLE,HAUTE-MARNE,17819.16
AGEY,COTE-D OR,17080.498
AGHIONE,HAUTE-CORSE,11652.785
AGINCOURT,MEURTHE-ET-MOSELLE,21117.098
AGME,LOT-ET-GARONNE,13749.938
AGNAC,LOT-ET-GARONNE,17794.734
AGNAT,HAUTE-LOIRE,13136.396
AGNEAUX,MANCHE,25318.162
AGNETZ,OISE,21499.133
AGNEZ-LES-DUISANS,PAS-DE-CALAIS,24467.051
AGNICOURT-ET-SECHELLES,AISNE,15358.148
AGNIERES,PAS-DE-CALAIS,16945.641
AGNIN,ISERE,18335.387
AGNOS,PYRENEES-ATLANTIQUES,17628.229
AGNY,PAS-DE-CALAIS,19690.621
AGON-COUTAINVILLE,MANCHE,30068.209
AGONAC,DORDOGNE,17122.721
AGONES,HERAULT,16920.676
AGONGES,ALLIER,20078.129
