NOM,JAUGE,CP,SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg
Théâtres de Compiègne-Théâtre Impérial,816.0,60200,Théâtre,COMPIÈGNE,60,OISE,Hauts-de-France,32
Théâtres de Compiègne,1080.0,60200,Théâtre,COMPIÈGNE,60,OISE,Hauts-de-France,32
Conservatoire,,60400,Danse/Musique/Theatre,NOYON,60,OISE,Hauts-de-France,32
Théâtre du Chevalet,520.0,60400,Danse/Musique/Theatre,APPILLY,60,OISE,Hauts-de-France,32
Batoude Centre des arts du cirque et de la rue-Salle Jacques Brel,,60000,Théâtre,ALLONNE,60,OISE,Hauts-de-France,32
Conservatoire,,60000,Danse/Musique/Theatre,BEAUVAIS,60,OISE,Hauts-de-France,32
Théâtre du Beauvaisis,,60000,Danse/Musique/Theatre,BEAUVAIS,60,OISE,Hauts-de-France,32
L ouvre- Boîte,,60000,Musique,BEAUVAIS,60,OISE,Hauts-de-France,32
Polaris,423.0,69960,Théâtre,CORBAS,69,RHONE,Auvergne-Rhône-Alpes,84
Théâtre Nouvelle Génération (Tng),,69009,Théâtre,LYON,69,RHONE,Auvergne-Rhône-Alpes,84
Conservatoire,,69100,Danse/Musique/Theatre,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84
Théâtre et Compagnie de l Iris,155.0,69100,Théâtre,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84
Les Ateliers Frappaz,,69100,Arts de la rue,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84
Espace Tonkin,350.0,69100,Théâtre,VILLEURBANNE,69,RHONE,Auvergne-Rhône-Alpes,84
Machinerie,500.0,69200,Danse/Musique/Theatre,VÉNISSIEUX,69,RHONE,Auvergne-Rhône-Alpes,84
Machinerie-Bizarre !,350.0,69200,Danse/Musique/Theatre,VÉNISSIEUX,69,RHONE,Auvergne-Rhône-Alpes,84
Renaissance,650.0,69600,Danse/Musique/Theatre,OULLINS-PIERRE-BÉNITE,69,RHONE,Auvergne-Rhône-Alpes,84
Ccn - Rillieux La Pape,,69140,Danse,RILLIEUX-LA-PAPE,69,RHONE,Auvergne-Rhône-Alpes,84
Espace Baudelaire,,69140,Théâtre,RILLIEUX-LA-PAPE,69,RHONE,Auvergne-Rhône-Alpes,84
Radiant-Bellevue,2600.0,69300,Théâtre,CALUIRE-ET-CUIRE,69,RHONE,Auvergne-Rhône-Alpes,84
Karavan Théâtre,377.0,69680,Théâtre,CHASSIEU,69,RHONE,Auvergne-Rhône-Alpes,84
Conservatoire,,69680,Danse/Musique/Theatre,CHASSIEU,69,RHONE,Auvergne-Rhône-Alpes,84
Patadôme Théâtre,150.0,69540,Théâtre,IRIGNY,69,RHONE,Auvergne-Rhône-Alpes,84
Sémaphore,386.0,69540,Théâtre,IRIGNY,69,RHONE,Auvergne-Rhône-Alpes,84
Conservatoire,,69700,Danse/Musique/Theatre,GIVORS,69,RHONE,Auvergne-Rhône-Alpes,84
