DEPARTEMENT,NOM
ARDECHE,Bibliothèque municipale
MAINE-ET-LOIRE,Bibliothèque du Lion d Angers
SOMME,Médiathèque Est de la Somme - Ham
HAUTE-GARONNE,Plaisir de lire
AIN,Bibliothèque Municipale
AISNE,Mediatheque Jean Mace
ALLIER,MEDIATHEQUE FERME MODELE
ARDECHE,Bibliothèque municipale
AUBE,Bibliotheque Municipale
AUBE,Bibliotheque Municipale
AUDE,Bibliothèque municipale de Caux-et-Sauzens
AVEYRON,Médiathèque André Baudon de Bozouls
BOUCHES-DU-RHONE,Bibliothèque municipale du Grand Pré
BOUCHES-DU-RHONE,Médiathèque municipale
COTE-D OR,Bibliothèque Municipale
COTE-D OR,Médialude
COTE-D OR,Bibliotheque Intercommunale
COTES-D ARMOR,Médiathèque Brin de Culture
CREUSE,Médiathèque intercommunale Creuse Confluence
DORDOGNE,Bibliothèque
DORDOGNE,Mediathèque Diapason
DOUBS,Bibliothèque Municipale
DOUBS,Médiathèque Municipale
DOUBS,Bibliothèque municipale
DOUBS,Bibliothèque Pierre Bichet
DROME,Médiathèque Pierre  Mendes  France
FINISTERE,Bibliotheque Municipale
FINISTERE,BIBLIOTHEQUE  MUNICIPALE  JACQUES  PREVERT
FINISTERE,Médiathèque de Loctudy
FINISTERE,Mediatheque Municipale
DORDOGNE,Bibliothèque
HAUTE-GARONNE,Bibliothèque municipale
MAINE-ET-LOIRE,Bibliothèque de la Pouëze
MAINE-ET-LOIRE,Bibliothèque d Ingrandes Le Fresnes
HAUTE-SAONE,Médiathèque Le Temps de Lire
LOZERE,Dépôt lecture de Chasseradès
PYRENEES-ORIENTALES,centre culturel
MAYENNE,CC Meslay-Grez - Médiathèque de Grez-en-Bouère
MARTINIQUE,Médiathèque Municipale du MARIGOT
GIRONDE,Bibliothèque Municipale
MAINE-ET-LOIRE,Bibliothèque de La Salle de Vihiers
LOIRE-ATLANTIQUE,Bibliothèque de Saint-Julien-de-Vouvantes
ALPES-MARITIMES,Bibliothèque de La Bollène
CANTAL,Relais-lecture
MAINE-ET-LOIRE,Bibliothèque de Botz-en-Mauges
HAUT-RHIN,Médiathèque Le Parnasse - Saint-Louis
RHONE,Bibliotheque Municipale
SAONE-ET-LOIRE,Bibliothèque CCBR71 de Beaurepaire-en-Bresse/Saillenard
SAONE-ET-LOIRE,Bibliothèque Municipale
SARTHE,BIBLIOTHÈQUE MUNICIPALE
SAVOIE,Bibliothèque Municipale
HAUTE-SAVOIE,Bibliotheque Municipale
HAUTE-SAVOIE,Bibliotheque Municipale de La Tour
SEINE-ET-MARNE,Bibliothèque Municipale Saint-Mard
YVELINES,Médiathèque Municipale
YVELINES,Mediathèque municipale
DEUX-SEVRES,Médiathèque Municipale
DEUX-SEVRES,Mediatheque Municipale de Saint-Varent
VAR,Médiathèque de La Motte
VAR,Bibliothèque Albert Camus
VAR,Thyde Monnier
VIENNE,Médiatheque Municipale de Smarves
HAUTE-VIENNE,Médiathèque Municipale De Panazol
YONNE,Bibliotheque Municipale
TERRITOIRE DE BELFORT,Médiathèque de Foussemagne
TERRITOIRE DE BELFORT,Mediathèque Intercommunale de Lepuix
ESSONNE,Médiathèque  municipale
ESSONNE,Bibliotheque Municipale
ESSONNE,Médiathèque Victor Hugo
HAUTS-DE-SEINE,La Bibliotheque
VAL-DE-MARNE,Médiathèque Jean d Ormesson
VAL-D OISE,Bibliothèque intercommunale Anna Langfus
GUADELOUPE,Bibliotheque Municipale
GARD,Bibliothèque de Beaucaire
HAUTE-GARONNE,Médiathèque Municipale
HAUTE-GARONNE,Alexandra Julian
HAUTE-GARONNE,Médiathèque Municipale
GERS,Médiathèque Grand Auch Coeur de Gascogne
GIRONDE,Mediatheque
GIRONDE,Médiatheque
GIRONDE,Bibliothèque municipale
GIRONDE,Médiathèque du Taillan-Médoc
HERAULT,Bibliotheque Municipale
HERAULT,Mediatheque
HERAULT,MEDIATHEQUE DE LAURENS
HERAULT,Bibliothèque municipale
HERAULT,Bibliotheque Municipale Jeanne Grizard
INDRE,Mediatheque Municipale
