"NOM";"CP";"URL";"SOUS_TYPE";"LATTI";"LONGI";"Public";"ORGANISME";"Type";"GCD";"COMMUNE"
"muséum d histoire naturelle";"97400";"www.departement974.fr/museum";"Sciences de la nature";-20.887712;55.451452;"";"";"Musée";"";"SAINT-DENIS_DE_LA_REUNION"
"muséum des Sciences Naturelles";"49000";"www.angers.fr/vivre-a-angers/culture/culture-scientifique/museum-des-sciences-naturelles/le-museum-des-sciences-naturelles/index.html";"Histoire";47.473467;-0.546399;"";"";"Musée";"";"ANGERS"
"muséum d histoire naturelle";"71400";"www.autun.com/sortir-a-autun/les-lieux-de-loisirs/le-museum-dhistoire-naturelle";"Sciences de la nature";46.947996;4.301812;"";"";"Musée";"";"AUTUN"
"muséum d histoire naturelle Lecoq";"63000";"www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/museum-henri-lecoq/";"Sciences de la nature";45.774138;3.088299;"";"";"Musée";"";"CLERMONT-FERRAND"
"muséum d histoire naturelle";"38000";"www.grenoble.fr/1607-museum-de-grenoble.htm";"Sciences de la nature";45.188059;5.735163;"";"";"Musée";"";"GRENOBLE"
"musée minéralogique de la Société industrielle de Mulhouse";"68100";"www.enscmu.uha.fr/index.php/lenscmu/histoire-et-patrimoine/";"Sciences de la nature";47.73132;7.310303;"";"";"Musée";"";"MULHOUSE"
"muséum-Aquarium de Nancy";"54000";"www.museumaquariumdenancy.eu/accueil/";"Sciences de la nature";48.695072;6.188467;"";"";"Musée";"";"NANCY"
"musée d histoire naturelle";"79000";"www.niortagglo.fr/fr/sortir-visiter/patrimoine-et-musees/musee-bernard-dagesci/index.html";"Archeologie";46.321168;-0.454351;"";"";"Musée";"";"NIORT"
"muséum d histoire naturelle";"66000";"www.mairie-perpignan.fr/culture-patrimoine/musees";"Histoire";42.69773136;2.90046144;"";"";"Musée";"";"PERPIGNAN"
"collection d histoire naturelle";"86000";"non renseigne";"Sciences de la nature";46.580584;0.348113;"";"";"Musée";"";"POITIERS"
"musée de la terre ardéchoise";"07000";"non renseigne";"Histoire";44.735836;4.594922;"";"";"Musée";"";"PRIVAS"
"musée entomologique";"02100";"www.saint-quentin.fr/108-musee-papillons.htm";"Sciences de la nature";49.84595;3.288944;"";"";"Musée";"";"SAINT-QUENTIN"
"musée des Troupes de Marine";"83600";"www.defense.gouv.fr/terre/histoire-et-patrimoine/patrimoine/musees/musee-des-troupes-de-marine";"Histoire";43.47210159;6.72140217;"";"";"Musée";"";"FREJUS"
"Cité de la préhistoire";"07160";"www.orgnac.com/";"Archeologie";44.310413;4.425665;"";"";"Musée";"";"ORGNAC-L_AVEN"
"musée de la carte postale";"56150";"www.lecartonvoyageur.fr/";"Ethnologie";47.875046;-3.016911;"";"";"Musée";"";"BAUD"
"Ferme-musée du Cotentin";"50480";"www.manche.fr/patrimoine/ferme-musee-cotentin-N.aspx";"Histoire";49.412401;-1.319894;"";"";"Musée";"";"SAINTE-MERE-EGLISE"
"musée Condé";"60500";"musee-conde.fr/fr/";"Archeologie";49.19413375;2.4851233;"";"";"Musée";"";"CHANTILLY"
"musée Daubigny";"95430";"museedaubigny.com";"Art";49.07148015;2.17178325;"";"";"Musée";"";"AUVERS-SUR-OISE"
"musée de la bonneterie";"10000";"www.musees-troyes.com/bonneterie/";"Arts décoratif";48.2945564;4.0718725;"";"";"Musée";"";"TROYES"
"Bibliothèque de l’Assemblée Nationale";"75001";"www2.assemblee-nationale.fr/decouvrir-l-assemblee/patrimoine/la-bibliotheque#prettyPhoto";"Histoire";48.86212269;2.31865141;"";"";"Musée";"";"PARIS"
"musée du Pays de Hanau - histoire et vies d’un territoire";"68480";"www.museedupaysdehanau.eu";"Arts décoratif";48.824977;7.482915;"";"";"Musée";"";"BOUXWILLER"
"musée Oberlin";"67130";"musee-oberlin.org";"Biographie";48.414759;7.214925;"";"";"Musée";"";"WALDERSBACH"
"musée de la bataille du 6 août 1870";"67360";"webmuseo.com/ws/musee-woerth/app/report/index.html";"Histoire";48.938618;7.747992;"";"";"Musée";"";"WOERTH"
"musée Bartholdi";"68000";"www.musee-bartholdi.fr/";"Histoire";48.076747;7.357746;"";"";"Musée";"";"COLMAR"
"musée d Unterlinden";"68000";"www.musee-unterlinden.com/";"Archeologie";48.079918;7.355464;"";"";"Musée";"";"COLMAR"
"musée Théodore Deck et des pays du Florival";"68500";"www.ville-guebwiller.fr/culture/lieux-culturels/musee-theodore-deck-des-pays-du-florival/";"Archeologie";47.905522;7.214504;"";"";"Musée";"";"GUEBWILLER"
"musée Historique";"68100";"musees-mulhouse.fr/musees/musee-historique/";"Archeologie";47.746642;7.338434;"";"";"Musée";"";"MULHOUSE"
"musée de l Impression sur Etoffes";"68100";"www.musee-impression.com/";"Arts décoratif";47.74501942;7.34537958;"";"";"Musée";"";"MULHOUSE"
"musée du Dolder";"68340";"www.musee-riquewihr.fr/dolder.html";"Archeologie";48.166916;7.297406;"";"";"Musée";"";"RIQUEWIHR"
"écomusée d’Alsace";"68190";"www.ecomusee.alsace/fr/";"Art";47.878584;7.304447;"";"";"Musée";"";"UNGERSHEIM"
"musée du tabac";"24100";"www.bergerac.fr/directory/musee-du-tabac/";"Arts décoratif";44.84976;0.483469;"";"";"Musée";"";"BERGERAC"
"musée des arts et traditions populaires";"24400";"museevoulgre.fr/";"Archeologie";45.037634;0.361673;"";"";"Musée";"";"MUSSIDAN"
"musée d Art et d Histoire du Pays Blayais";"33390";"www.blaye.fr/culture-et-loisirs/musees/80-musee-d-histoire-et-d-archeologie.html";"Arts décoratif";45.126358;-0.66364;"";"";"Musée";"";"BLAYE"
"CAPC-musée d Art Contemporain";"33000";"www.capc-bordeaux.fr";"Art";44.848186;-0.572137;"";"";"Musée";"";"BORDEAUX"
"musée béarnais";"64400";"non renseigne";"Arts décoratif";43.18818;-0.604752;"";"";"Musée";"";"OLORON-SAINTE-MARIE"
"musée Charles-Louis Philippe";"21330";"charles-louis-philippe.fr";"Histoire";46.617913;2.823245;"";"";"Musée";"";"CERILLY"
"musée Anne de Beaujeu";"03000";"musees.allier.fr/410-presentation.htm";"Archeologie";46.56707;3.331218;"";"";"Musée";"";"MOULINS-SUR-ALLIER"
"musée de la dentelle";"63220";"arlanc.fr/accueil/20-le-musee-de-la-dentelle.html";"Arts décoratif";45.414373;3.724421;"";"";"Musée";"";"ARLANC"
"musée Lapidaire";"63200";"www.ville-mozac.com/La-crypte-et-le-musee-lapidaire.html";"Histoire";45.892133;3.094609;"";"";"Musée";"";"MOZAC"
"musée municipal";"63790";"murolchateau.com/";"Histoire";45.590429;2.921508;"";"";"Musée";"";"MUROL"
"musée régional d Auvergne";"63200";"www.rlv.eu/decouvrir/musees/musee-regional-d-auvergne.html";"Ethnologie";45.895037;3.116254;"";"";"Musée";"";"RIOM"
"musée du Châtillonnais";"21400";"www.musee-vix.fr/fr/";"Archeologie";47.863791;4.574632;"";"";"Musée";"";"CHATILLON-SUR-SEINE"
"musée municipal";"21700";"www.ot-nuits-st-georges.fr/accueil/";"Archeologie";47.138661;4.950405;"";"";"Musée";"";"NUITS-SAINT-GEORGES"
"musée d Art et d Histoire Romain Rolland";"02880";"www.clamecy.fr/index.php/Mus%C3%A9e-d-Art-et-d-Histoire-Romain-Rolland?idpage=320&idmetacontenu=";"Archeologie";47.460604;3.520823;"";"";"Musée";"";"CLAMECY"
"musée municipal";"58400";"non renseigne";"Archeologie";47.178081;3.016449;"";"";"Musée";"";"LA_CHARITE-SUR-LOIRE"
"musée de la mine";"58260";"nievre.fr/cadre-de-vie/culture-et-patrimoine/musees/la-machine-musee-de-la-mine/";"Histoire";46.889225;3.463514;"";"";"Musée";"";"LA_MACHINE"
"musée Rolin";"71400";"www.museerolin.fr/node/132";"Archeologie";46.945723;4.299216;"";"";"Musée";"";"AUTUN"
"musée René Davoine";"71120";"www.ville-charolles.fr/musee-du-prieure-jean-laronze";"Art";46.431434;4.273059;"";"";"Musée";"";"CHAROLLES"
"musée du Prieuré Jean Laronze";"71120";"www.ville-charolles.fr/musees";"Arts décoratif";46.432412;4.279872;"";"";"Musée";"";"CHAROLLES"
"musée eucharistique du Hiéron";"71600";"www.musee-hieron.fr/";"Art";46.451822;4.123021;"";"";"Musée";"";"PARAY-LE-MONIAL"
"musée bourguignon Perrin de Puycousin";"71700";"non renseigne";"Histoire";46.562137;4.910839;"";"";"Musée";"";"TOURNUS"
"musée d art et d histoire Saint-Germain";"89000";"www.auxerre.fr/Attractive/Les-grands-equipements/Les-equipements-culturels/Musees";"Archeologie";47.800283;3.571975;"";"";"Musée";"";"AUXERRE"
