"Type";"NOM";"GCD";"CP";"ORGANISME";"Public";"LATTI";"LONGI";"SOUS_TYPE";"COMMUNE"
"Archives";"Centre de gestion de la fonction publique territoriale des Landes - Service des Archives";"2 - Centres urbains intermédiaires";"40000";"";"";43.89691952;-0.49316619;"Archives";"Mont-de-Marsan"
"Archives";"Archives départementales du Loir-Et-Cher - Site des Archives Historiques";"2 - Centres urbains intermédiaires";"41000";"";"";47.5937681;1.33670067;"Archives";"Blois"
"Archives";"Communauté D agglomération Terriroire Vendômois - Service des Archives";"2 - Centres urbains intermédiaires";"41100";"";"";47.792575;1.064805;"Archives";"Vendôme"
"Archives";"Commune de Roanne - Archives municipales";"2 - Centres urbains intermédiaires";"42300";"";"";46.054515;4.089688;"Archives";"Roanne"
"Archives";"Archives départementales de La Loire";"1 - Grands centres urbains";"42100";"";"";45.45400177;4.38499487;"Archives";"Saint-Etienne"
"Archives";"Centre de gestion de la fonction publique territoriale de La Loire - Service des Archives";"1 - Grands centres urbains";"42100";"";"";45.44025267;4.38306979;"Archives";"Saint-Etienne"
"Archives";"Commune de La Baule-Escoublac - Service des Archives";"2 - Centres urbains intermédiaires";"44500";"";"";47.28268743;-2.39487127;"Archives";"La_Baule-Escoublac"
"Archives";"Commune de Montoir-de-Bretagne - Archives municipales";"4 - Ceintures urbaines";"44550";"";"";47.32722157;-2.15056414;"Archives";"Montoir-de-Bretagne"
"Archives";"Conseil régional des Pays-de-La-Loire - Service des Archives";"1 - Grands centres urbains";"44300";"";"";47.21125637;-1.52604501;"Archives";"Nantes"
"Archives";"Commune de Gien - Archives municipales";"3 - Petites villes";"45500";"";"";47.697544;2.624489;"Archives";"Gien"
"Archives";"Centre des Archives Modernes Et Contemporaines";"1 - Grands centres urbains";"45100";"";"";47.820807;1.926983;"Archives";"Orléans"
"Archives";"Archives départementales du Lot";"2 - Centres urbains intermédiaires";"46000";"";"";44.4500139;1.43531976;"Archives";"Cahors"
"Archives";"Communauté Urbaine Angers Loire Métropole Et Ville D angers - Service Archives Vivantes";"1 - Grands centres urbains";"49000";"";"";47.4718818;-0.54791429;"Archives";"Angers"
"Archives";"Communauté D agglomération Saumur Val de Loire  - Service Archives";"3 - Petites villes";"49400";"";"";47.26561209;-0.07281829;"Archives";"Saumur"
"Archives";"Commune de Cherbourg-En-Cotentin - Archives municipales";"1 - Grands centres urbains";"50120";"";"";49.64153984;-1.62610892;"Archives";"Cherbourg-en-Cotentin"
"Archives";"Conseil régional Grand-Est - Site de Châlons-En-Champagne - Service des Archives";"2 - Centres urbains intermédiaires";"51000";"";"";48.95155251;4.37050418;"Archives";"Châlons-en-Champagne"
"Archives";"Archives départementales de La Marne";"2 - Centres urbains intermédiaires";"51000";"";"";48.95337025;4.36703724;"Archives";"Châlons-en-Champagne"
"Archives";"Commune de Laval Et Communauté D agglomération Laval Agglomération - Service Archives";"2 - Centres urbains intermédiaires";"53000";"";"";48.07701478;-0.76547564;"Archives";"Laval"
"Archives";"Commune de Lunéville - Archives municipales";"2 - Centres urbains intermédiaires";"54300";"";"";48.59760658;6.48773312;"Archives";"Lunéville"
"Archives";"Commune de Lorient - Archives municipales";"1 - Grands centres urbains";"56100";"";"";47.748332;-3.356756;"Archives";"Lorient"
"Archives";"Commune de Saint-Avold - Service Archives-Documentation";"2 - Centres urbains intermédiaires";"57500";"";"";49.158298;6.758787;"Archives";"Saint-Avold"
"Archives";"Archives départementales de La Nièvre";"2 - Centres urbains intermédiaires";"58000";"";"";46.99332993;3.16128833;"Archives";"Nevers"
"Archives";"Commune de Lomme - Archives municipales";"1 - Grands centres urbains";"59260";"";"";50.63925496;3.01171661;"Archives";"Lille"
"Archives";"Sivom Alliance Nord-Ouest";"1 - Grands centres urbains";"59520";"";"";50.68152146;3.08359521;"Archives";"Marquette-lez-Lille"
"Archives";"Commune de Tourcoing - Archives municipales";"1 - Grands centres urbains";"59200";"";"";50.71641884;3.16056928;"Archives";"Tourcoing"
"Archives";"Archives départementales de L orne";"2 - Centres urbains intermédiaires";"61000";"";"";48.43705454;0.09608888;"Archives";"Alençon"
"Archives";"Commune D aire-Sur-La-Lys - Archives municipales";"3 - Petites villes";"62120";"";"";50.63842;2.39509;"Archives";"Aire-sur-la-Lys"
"Archives";"Communauté D agglomération de Béthune Bruay Lys Romane - Service des Archives";"2 - Centres urbains intermédiaires";"62400";"";"";50.51618638;2.62683874;"Archives";"Béthune"
"Archives";"Commune de Boulogne-Sur-Mer - Archives municipales";"1 - Grands centres urbains";"62200";"";"";50.71448188;1.61501189;"Archives";"Boulogne-sur-Mer"
"Archives";"Archives départementales du Puy-de-Dôme";"1 - Grands centres urbains";"63100";"";"";45.80719018;3.10231885;"Archives";"Clermont-Ferrand"
"Archives";"Commune D issoire - Service Archives-Documentation";"2 - Centres urbains intermédiaires";"63500";"";"";45.54529812;3.25154199;"Archives";"Issoire"
"Archives";"Commune de Riom - Archives communales";"2 - Centres urbains intermédiaires";"63200";"";"";45.88667653;3.11734791;"Archives";"Riom"
"Archives";"Commune de Thiers - Archives municipales";"3 - Petites villes";"63300";"";"";45.85632646;3.5482393;"Archives";"Thiers"
"Archives";"Centre de gestion de la fonction publique territoriale des Pyrénées-Atlantiques - Service Archives";"1 - Grands centres urbains";"64000";"";"";43.30999969;-0.3597094;"Archives";"Pau"
"Archives";"Commune de Tarbes - Archives municipales";"2 - Centres urbains intermédiaires";"65000";"";"";43.24085284;0.07427686;"Archives";"Tarbes"
"Archives";"Communauté de Communes du Pays de Saverne - Service des Archives";"2 - Centres urbains intermédiaires";"67700";"";"";48.74435638;7.36926172;"Archives";"Saverne"
"Archives";"Commune de Strasbourg - Archives de La Ville Et de L eurométropole de Strasbourg";"1 - Grands centres urbains";"67100";"";"";48.57248802;7.76381657;"Archives";"Strasbourg"
"Archives";"Commune de Ribeauvillé - Archives municipales";"3 - Petites villes";"68150";"";"";48.19562103;7.31661929;"Archives";"Ribeauvillé"
"Archives";"Commune de Tarare - Service Archives Documentation";"2 - Centres urbains intermédiaires";"69170";"";"";45.89521573;4.43369419;"Archives";"Tarare"
"Archives";"Commune de Vénissieux - Service Documentation-Archives";"1 - Grands centres urbains";"69200";"";"";45.69697417;4.88532841;"Archives";"Vénissieux"
"Archives";"Commune de Villefranche-Sur-Saône - Archives municipales";"2 - Centres urbains intermédiaires";"69400";"";"";45.984802;4.734051;"Archives";"Villefranche-sur-Saône"
"Archives";"Commune de Genas - Archives municipales";"4 - Ceintures urbaines";"69740";"";"";45.73251454;5.00550994;"Archives";"Genas"
"Archives";"Archives municipales de Bourg-Saint-Maurice Les Arcs";"3 - Petites villes";"73700";"";"";45.61878262;6.76960125;"Archives";"Bourg-Saint-Maurice"
"Archives";"Archives départementales de La Haute-Savoie";"1 - Grands centres urbains";"74600";"";"";45.9173845;6.12698689;"Archives";"Annecy"
"Archives";"Commune D annecy - Archives municipales";"1 - Grands centres urbains";"74600";"";"";45.90861925;6.12497623;"Archives";"Annecy"
"Archives";"Conseil régional de Normandie - Site de Rouen - Service des Archives";"1 - Grands centres urbains";"76000";"";"";49.4379939;1.10343242;"Archives";"Rouen"
"Archives";"Commune de Rouen - Service Archives-Documentation";"1 - Grands centres urbains";"76000";"";"";49.44298839;1.09972544;"Archives";"Rouen"
"Archives";"Val D europe Agglomération - Service Documentation-Archives";"1 - Grands centres urbains";"77700";"";"";48.88188773;2.77271124;"Archives";"Chessy"
"Archives";"Communauté D agglomération Melun Val de Seine - Service des Archives";"1 - Grands centres urbains";"77190";"";"";48.52199225;2.65257921;"Archives";"Dammarie-les-Lys"
"Archives";"Commune de Pontault-Combault";"1 - Grands centres urbains";"77340";"";"";48.80397826;2.61149213;"Archives";"Pontault-Combault"
"Archives";"Commune de Buc - Service Archives-Documentation";"4 - Ceintures urbaines";"78530";"";"";48.77508209;2.1231766;"Archives";"Buc"
"Archives";"Commune de Conflans-Sainte-Honorine - Service Archives-Documentation";"1 - Grands centres urbains";"78700";"";"";48.99371687;2.09477372;"Archives";"Conflans-Sainte-Honorine"
"Archives";"Commune de Saint-Maur-des-Fossés - Archives municipales";"1 - Grands centres urbains";"94100";"";"";48.7905682;2.47809707;"Archives";"Saint-Maur-des-Fossés"
"Archives";"Commune de Croissy-Sur-Seine - Archives municipales Et Patrimoine";"1 - Grands centres urbains";"78290";"";"";48.877448;2.152202;"Archives";"Croissy-sur-Seine"
"Archives";"Commune de Maisons-Laffitte - Service Archives-Documentation";"1 - Grands centres urbains";"78600";"";"";48.94598271;2.14520348;"Archives";"Maisons-Laffitte"
"Archives";"Archives départementales des Yvelines";"1 - Grands centres urbains";"78180";"";"";48.789645;2.045773;"Archives";"Montigny-le-Bretonneux"
"Archives";"Commune de Sartrouville - Service Archives-Documentation";"1 - Grands centres urbains";"78500";"";"";48.94104343;2.15837629;"Archives";"Sartrouville"
"Archives";"Commune de Trappes - Service Documentation-Archives";"1 - Grands centres urbains";"78190";"";"";48.77610105;1.99905585;"Archives";"Trappes"
"Archives";"Commune de Voisins-Le-Bretonneux - Service des Archives";"1 - Grands centres urbains";"78960";"";"";48.75864647;2.05112557;"Archives";"Voisins-le-Bretonneux"
"Archives";"Communauté D agglomération du Niortais - Service des Archives";"2 - Centres urbains intermédiaires";"79000";"";"";46.3189216;-0.48365083;"Archives";"Niort"
"Archives";"Commune de Niort - Archives municipales";"2 - Centres urbains intermédiaires";"79000";"";"";46.32382134;-0.46479468;"Archives";"Niort"
"Archives";"Commune de Carmaux - Archives municipales";"3 - Petites villes";"81400";"";"";44.052781;2.155872;"Archives";"Carmaux"
"Archives";"Commune de Castres - Archives municipales";"2 - Centres urbains intermédiaires";"81100";"";"";43.60736712;2.2532344;"Archives";"Castres"
"Archives";"Commune de La Garde - Archives Et Documentation";"1 - Grands centres urbains";"83130";"";"";43.119049;5.99475;"Archives";"La_Garde"
"Archives";"Commune de Sainte-Maxime - Service Archives-Documentation";"2 - Centres urbains intermédiaires";"83120";"";"";43.309766;6.640117;"Archives";"Sainte-Maxime"
"Archives";"Commune de Saint-Tropez - Archives municipales";"5 - Bourgs ruraux";"83990";"";"";43.27117074;6.64095684;"Archives";"Saint-Tropez"
"Archives";"Commune de La Seyne-Sur-Mer - Archives municipales";"1 - Grands centres urbains";"83500";"";"";43.103059;5.880099;"Archives";"La_Seyne-sur-Mer"
"Archives";"Métropole Toulon Provence Méditerranée - Service des Archives";"1 - Grands centres urbains";"83100";"";"";43.11833517;5.94720579;"Archives";"Toulon"
"Archives";"Commune de Sorgues - Archives communales";"2 - Centres urbains intermédiaires";"84700";"";"";44.00652173;4.87867606;"Archives";"Sorgues"
"Archives";"Commune de La Roche-Sur-Yon - Service Histoire Archives Et Patrimoine";"2 - Centres urbains intermédiaires";"85000";"";"";46.66887772;-1.42926962;"Archives";"La_Roche-sur-Yon"
"Archives";"Antenne D olonne Sur Mer";"3 - Petites villes";"85100";"";"";46.53330982;-1.77208811;"Archives";"Les_Sables-d_Olonne"
"Archives";"Commune de Limoges - Archives municipales";"1 - Grands centres urbains";"87000";"";"";45.82590627;1.26241462;"Archives";"Limoges"
"Archives";"Archives départementales de L yonne";"2 - Centres urbains intermédiaires";"89290";"";"";47.8009825;3.57097562;"Archives";"Auxerre"
"Archives";"Commune D avallon - Archives municipales";"3 - Petites villes";"89200";"";"";47.489666;3.908689;"Archives";"Avallon"
"Archives";"Commune de Joigny - Archives municipales";"3 - Petites villes";"89300";"";"";47.98069793;3.40052043;"Archives";"Joigny"
"Archives";"Archives départementales du Territoire de Belfort";"1 - Grands centres urbains";"90000";"";"";47.63750819;6.86198805;"Archives";"Belfort"
"Archives";"Commune de Brunoy - Service des Archives";"1 - Grands centres urbains";"91800";"";"";48.69736764;2.50473845;"Archives";"Brunoy"
"Archives";"Archives départementales de L essonne";"3 - Petites villes";"91730";"";"";48.5132945;2.22190948;"Archives";"Chamarande"
"Archives";"Commune de Chilly-Mazarin - Service des Archives";"1 - Grands centres urbains";"91380";"";"";48.70198872;2.31831861;"Archives";"Chilly-Mazarin"
"Archives";"Commune de Dourdan - Service des Archives";"2 - Centres urbains intermédiaires";"91410";"";"";48.52904328;2.0155597;"Archives";"Dourdan"
"Archives";"Commune D etampes - Direction des Affaires Culturelles du Patrimoine des Archives Et des Jumelages";"2 - Centres urbains intermédiaires";"91150";"";"";48.43554058;2.16092099;"Archives";"Etampes"
"Archives";"Commune de Palaiseau - Service des Archives";"1 - Grands centres urbains";"91120";"";"";48.71455297;2.2457271;"Archives";"Palaiseau"
"Archives";"Commune des Ulis - Service des Archives";"1 - Grands centres urbains";"91940";"";"";48.684663;2.167812;"Archives";"Les_Ulis"
"Archives";"Commune de Bagneux - Archives communales";"1 - Grands centres urbains";"92220";"";"";48.79713702;2.30344117;"Archives";"Bagneux"
"Archives";"Commune de Bois-Colombes - Service Archives Et Patrimoine Culturel";"1 - Grands centres urbains";"92270";"";"";48.91443185;2.26791535;"Archives";"Bois-Colombes"
"Archives";"Commune de Boulogne-Billancourt - Archives municipales";"1 - Grands centres urbains";"92100";"";"";48.83596705;2.24052759;"Archives";"Boulogne-Billancourt"
"Archives";"Commune de Chaville - Service Archives-Documentation";"1 - Grands centres urbains";"92370";"";"";48.80944078;2.18871833;"Archives";"Chaville"
"Archives";"Commune de Fontenay-Aux-Roses - Service Archives-Documentation";"1 - Grands centres urbains";"92260";"";"";48.79110535;2.28623546;"Archives";"Fontenay-aux-Roses"
"Archives";"Commune de Gennevilliers - Archives municipales";"1 - Grands centres urbains";"92230";"";"";48.92531704;2.29403252;"Archives";"Gennevilliers"
"Archives";"Commune de Meudon - Archives municipales";"1 - Grands centres urbains";"92360";"";"";48.81286812;2.23843004;"Archives";"Meudon"
"Archives";"Commune de Montrouge - Service Archives-Documentation";"1 - Grands centres urbains";"92120";"";"";48.81863634;2.32107921;"Archives";"Montrouge"
"Archives";"Commune du Plessis-Robinson - Service Archives-Documentation";"1 - Grands centres urbains";"92350";"";"";48.78250559;2.26218622;"Archives";"Le_Plessis-Robinson"
"Archives";"Commune de Saint-Cloud - Service Archives";"1 - Grands centres urbains";"92210";"";"";48.84372316;2.21924705;"Archives";"Saint-Cloud"
"Archives";"Commune de Sceaux - Service Archives-Documentation";"1 - Grands centres urbains";"92330";"";"";48.77897123;2.28865905;"Archives";"Sceaux"
"Archives";"Commune du Blanc-Mesnil - Service des Ressources Documentaires Et du Patrimoine";"1 - Grands centres urbains";"93150";"";"";48.93822429;2.46422404;"Archives";"Le_Blanc-Mesnil"
"Archives";"Commune de Drancy - Archives-Documentation";"1 - Grands centres urbains";"93700";"";"";48.92374955;2.44526761;"Archives";"Drancy"
"Archives";"Commune de Gagny - Service Archives-Documentation";"1 - Grands centres urbains";"93220";"";"";48.87678861;2.55126816;"Archives";"Gagny"
