"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"28000";;"Bibliothèque Louis-Aragon";"Chartres";39698;"Bibliothèque municipale";"Bibliotheque";"";"";0;8;800;48.44805455;1.50464085
"46000";;"Bibliothèque Patrimoniale et de recherche du Grand cahors";"Cahors";20877;"Bibliothèque intercommunale";"Bibliotheque";"";"";2;2;300;44.4565109;1.4390088
"01700";;"Bibliothèque de Neyron";"Neyron";2619;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;45;45.8359445;4.99637935
"07140";;"Bibliothèque municipale";"Gravières";518;"Bibliothèque intercommunale";"Bibliotheque";"";"";6;0;50;44.4242657;4.18822415
"34700";;"Bibliothèque De Pégairolles-De-L escalette";"Pégairolles-de-l Escalette";164;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;50;43.6984849;3.3895837
"38730";;"Bibliothèque Communautaire de Le Pin";"Villages du Lac de Paladru";2588;"Bibliothèque intercommunale";"Bibliotheque";"";"";11;0;120;45.4790984;5.44871675
"63710";;"Pôle Lecture Publique Massif du Sancy -Vernet-Ste-Marguerite";"Le Vernet-Sainte-Marguerite";306;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;0;60;45.5924887;2.99559465
"25260";;"Bibliothèque Municipale Ma Bulle";"Mamirolle";1813;"Bibliothèque municipale";"Bibliotheque";"";"";20;1;113;47.44955725;6.6887584
"62440";;"Bobliothèque de la Chapelle au Riboul / CC Mayenne";"La Chapelle-au-Riboul";517;"Bibliothèque intercommunale";"Bibliotheque";"";"";14;0;46;50.45223055;2.903554
"49390";;"Bibliothèque de Parçay-les-Pins";"Noyant-Villages";5713;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;80;47.35148105;0.0818877
"49220";;"Bibliothèque du Lion d Angers";"Le Lion-d Angers";5099;"Bibliothèque intercommunale";"Bibliotheque";"";"";16;0;200;47.6901462;-0.69483635
"81450";;"Bibliothèque municipale";"Le Garric";1288;"Bibliothèque municipale";"Bibliotheque";"";"";12;2;105;44.00286315;2.171059
"81100";;"Bibliothèque municipale";"Verdalle";1182;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;40;43.6357786;2.33744005
"06390";;"Bibliothèque de Sospel";"Sospel";3890;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;400;43.83088005;7.2840149
"80400";;"Médiathèque Est de la Somme - Ham";"Ham";4657;"Bibliothèque municipale";"Bibliotheque";"";"";0;5;820;49.7383359;2.9475106
"49400";;"Bibliothèque municipale de Saint-Cyr-en-Bourg";"Saint-Cyr-en-Bourg";3562;"Bibliothèque intercommunale";"Bibliotheque";"";"";9;0;100;47.17808705;-0.0449151
"46310";;"Bibliothèque de Frayssinet";"Frayssinet";311;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;25;44.66949525;1.39150715
"04330";;"Bibliothèque de Blieux";"Blieux";57;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;1;30;43.94671805;6.3859852
"04300";;"Bibliothèque de Limans";"Limans";396;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;0;236.2;43.8947225;5.77649785
"04700";;"Bibliothèque de Lurs";"Lurs";390;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;0;236.2;43.9300048;5.88224315
"85250";;"Bibliothèque Jardin du livre";"Chavagnes-en-Paillers";3653;"Bibliothèque municipale";"Bibliotheque";"";"";15;1;234;46.88979665;-1.23410265
"31250";;"Plaisir de lire";"L Union";11962;"Bibliothèque municipale";"Bibliotheque";"";"";21;2;500;43.4678912;1.9974716
"01500";;"Bibliotheque Muncipale";"Ambronay";2915;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;145;46.005888;5.36273
"01290";;"Bibliothèque Municipale";"Crottet";1803;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;120;46.285131;4.877743
"01350";;"Médiathèque Municipale de Culoz";"Culoz";3068;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;220;45.848493;5.776901
"01851";;"Médiathèque municipale de Marboz";"Marboz";2323;"Bibliothèque municipale";"Bibliotheque";"";"";13;2;237;46.342262;5.257639
"02290";;"Bibliothèque";"Ambleny";1192;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;48;49.37912;3.184581
"02320";;"Médiatheque Les feuillets d Hermione";"Anizy-le-Grand";2627;"Bibliothèque municipale";"Bibliotheque";"";"";3;3;350;49.50473;3.450764
"02400";;"Médiathèque Françoise Coette";"Brasles";1600;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;85;49.047898;3.427722
"02400";;"Mediatheque Jean Mace";"Château-Thierry";15616;"Bibliothèque municipale";"Bibliotheque";"";"";1;11;1900;49.047194;3.400441
"02590";;"Médiathèque Municipale De Savy";"Savy";624;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;150;49.829574;3.193377
"02830";;"Mediatheque Marc Blancpain";"Saint-Michel";3371;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;642;49.918839;4.134343
"03000";;"Médiathèque d Avermes";"Avermes";4049;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;396;46.583016;3.315326
"03700";;"MEDIATHEQUE FERME MODELE";"Bellerive-sur-Allier";8972;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;500;46.112422;3.406667
"03110";;"Bibliotheque Municipale de Saint-Rémy-en-Rollat";"Saint-Rémy-en-Rollat";1763;"Bibliothèque municipale";"Bibliotheque";"";"";5;1;90;46.184616;3.39145
"03150";;"Médiathèque Municipale de Varennes-sur-Allier";"Varennes-sur-Allier";3691;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;300;46.313517;3.404128
"04400";;"Médiathèque de Barcelonnette";"Barcelonnette";2762;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;659;44.381904;6.632811
"04280";;"Médiathèque de Céreste";"Céreste";1227;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;250;43.856108;5.592157
"04800";;"Bibliothèque de Saint-Martin-de-Brômes";"Saint-Martin-de-Brômes";641;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;0;30;43.77327;5.961071
"04380";;"Bibliotheque de Thoard";"Thoard";767;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;1;133;44.150164;6.147913
"04290";;"Bibliothèque du Château - Volonne";"Volonne";1678;"Bibliothèque intercommunale";"Bibliotheque";"";"";2;1;90;44.124352;5.994346
"05120";;"Médiathèque Municipale";"L Argentière-la-Bessée";2341;"Bibliothèque municipale";"Bibliotheque";"";"";1;2;160;44.784293;6.55216
"06580";;"Bibliotheque de Pégomas";"Pégomas";8085;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;1402;43.59618;6.933338
"06550";;"Mediatheque Municipale";"La Roquette-sur-Siagne";5479;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;200;43.580477;6.947429
"06140";;"Mediatheque Municipale";"Vence";19242;"Bibliothèque municipale";"Bibliotheque";"";"";0;11;873;43.720298;7.11609
"07340";;"Bibliothèque municipale";"Félines";1761;"Bibliothèque intercommunale";"Bibliotheque";"";"";9;0;57;45.317231;4.728641
"07270";;"Bibliothèque municipale";"Lamastre";2393;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;302;44.989494;4.588088
"07190";;"Bibliothèque municipale";"Marcols-les-Eaux";289;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;20;44.812461;4.397399
"07130";;"Bibliothèque municipale Le balcon aux livres";"Soyons";2333;"Bibliothèque municipale";"Bibliotheque";"";"";11;1;220;44.89056;4.849741
"07320";;"Médiathèque de Saint-Agrève";"Saint-Agrève";2440;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;3;320;45.009684;4.39615
"07400";;"Bibliothèque intercommunale";"Le Teil";9043;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;8;740;44.549201;4.6826
"08090";;"Médiathèque municipale";"Aiglemont";1672;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;40;49.781499;4.766394
"08110";;"Médiathèque les Mousquetaires";"Carignan";2923;"Bibliothèque municipale";"Bibliotheque";"";"";7;2;400;49.627337;5.176618
"10210";;"Bibliotheque Municipale";"Chaource";1048;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;130;48.058029;4.136364
"10190";;"Bibliotheque Municipale";"Estissac";1870;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;80;48.264749;3.807947
