"Type";"NOM";"CP";"COMMUNE";"SOUS_TYPE";"FAUTEUIL";"ECRAN";"GCD";"LATTI";"LONGI";"ORGANISME";"Public";"URL"
"Cinéma";"Jeanne D Arc";"17240";"Saint-Genis-de-Saintonge";"Cinéma";282;1;"5 - Bourgs ruraux";45.48342728;-0.56717292;"";"";""
"Cinéma";"Eldorado";"17310";"Saint-Pierre-d_Oléron";"Cinéma";630;3;"5 - Bourgs ruraux";45.9434485;-1.30851899;"";"";""
"Cinéma";"Cine Rex";"17380";"Tonnay-Boutonne";"Cinéma";173;1;"5 - Bourgs ruraux";45.96630659;-0.70533791;"";"";""
"Cinéma";"Le Cristal";"17390";"La_Tremblade";"Cinéma";259;1;"3 - Petites villes";45.79610022;-1.16598764;"";"";""
"Cinéma";"Rio";"18400";"Saint-Florent-sur-Cher";"Cinéma";286;1;"3 - Petites villes";46.9964035;2.2522835;"";"";""
"Cinéma";"Le Soubise";"19250";"Meymac";"Cinéma";244;1;"5 - Bourgs ruraux";45.53265382;2.14703162;"";"";""
"Cinéma";"Cine Cap Vert";"21800";"Quetigny";"Cinéma";2376;12;"2 - Centres urbains intermédiaires";47.31264963;5.09100425;"";"";""
"Cinéma";"Les Baladins";"22300";"Lannion";"Cinéma";828;5;"3 - Petites villes";48.72757865;-3.46094819;"";"";""
"Cinéma";"Quai des Images";"22600";"Loudéac";"Cinéma";409;2;"3 - Petites villes";48.172681;-2.751236;"";"";""
"Cinéma";"Arletty";"22410";"Saint-Quay-Portrieux";"Cinéma";167;1;"3 - Petites villes";48.65032206;-2.83151543;"";"";""
"Cinéma";"Salle des Fetes";"23800";"Dun-le-Palestel";"Cinéma";200;1;"6 - Rural à habitat dispersé";46.300709;1.673061;"";"";""
"Cinéma";"Lux Louis delluc";"24480";"Le_Buisson-de-Cadouin";"Cinéma";281;2;"5 - Bourgs ruraux";44.84506609;0.90896531;"";"";""
"Cinéma";"Vox";"24290";"Montignac-Lascaux";"Cinéma";176;1;"5 - Bourgs ruraux";45.06384452;1.16334004;"";"";""
"Cinéma";"Studio";"24410";"Saint_Aulaye-Puymangou";"Cinéma";186;1;"5 - Bourgs ruraux";45.20198123;0.13499374;"";"";""
"Cinéma";"Le Clair";"24800";"Thiviers";"Cinéma";173;1;"5 - Bourgs ruraux";45.4133041;0.91887826;"";"";""
"Cinéma";"Cine Passion";"24350";"Tocane-Saint-Apre";"Cinéma";200;1;"5 - Bourgs ruraux";45.252655;0.493333;"";"";""
"Cinéma";"Eldorado";"25620";"Ornans";"Cinéma";153;1;"5 - Bourgs ruraux";47.106949;6.144394;"";"";""
"Cinéma";"Reg art";"26170";"Buis-les-Baronnies";"Cinéma";151;1;"5 - Bourgs ruraux";44.27560482;5.27157946;"";"";""
"Cinéma";"Espace(S)";"26270";"Loriol-sur-Drôme";"Cinéma";124;1;"3 - Petites villes";44.75417942;4.82459867;"";"";""
"Cinéma";"Salle D animation Rurale";"26800";"Montoison";"Cinéma";429;1;"5 - Bourgs ruraux";44.794674;4.937598;"";"";""
"Cinéma";"Le Train Cinema";"26800";"Portes-lès-Valence";"Cinéma";552;1;"2 - Centres urbains intermédiaires";44.87461915;4.88263889;"";"";""
"Cinéma";"Cine Planete";"26100";"Romans-sur-Isère";"Cinéma";1069;8;"2 - Centres urbains intermédiaires";45.04608688;5.05454821;"";"";""
"Cinéma";"Cine Lumiere";"26100";"Romans-sur-Isère";"Cinéma";434;3;"2 - Centres urbains intermédiaires";45.04631923;5.05043986;"";"";""
"Cinéma";"Cine  Galaure";"26240";"Saint-Vallier";"Cinéma";354;2;"3 - Petites villes";45.17607025;4.81534377;"";"";""
"Cinéma";"Jour de Fete";"27140";"Gisors";"Cinéma";207;1;"2 - Centres urbains intermédiaires";49.27968237;1.77418614;"";"";""
"Cinéma";"Le dunois";"28200";"Châteaudun";"Cinéma";412;3;"3 - Petites villes";48.07131479;1.33158169;"";"";""
"Cinéma";"Cinemarine";"29950";"Bénodet";"Cinéma";326;2;"3 - Petites villes";47.87099893;-4.10191025;"";"";""
"Cinéma";"Cine Liberte";"29200";"Brest";"Cinéma";2440;15;"1 - Grands centres urbains";48.38962961;-4.48564046;"";"";""
"Cinéma";"Le Rohan";"29800";"Landerneau";"Cinéma";470;2;"2 - Centres urbains intermédiaires";48.45233302;-4.25325407;"";"";""
"Cinéma";"Cineville Pont L abbe";"29120";"Pont-l_Abbé";"Cinéma";610;4;"3 - Petites villes";47.87036677;-4.22443931;"";"";""
"Cinéma";"L Ellipse";"20000";"Ajaccio";"Cinéma";1147;6;"2 - Centres urbains intermédiaires";41.943558;8.753935;"";"";""
"Cinéma";"Centre Culturel";"20137";"Porto-Vecchio";"Cinéma";298;1;"3 - Petites villes";41.592115;9.276211;"";"";""
"Cinéma";"7eme Art";"20600";"Furiani";"Cinéma";263;1;"4 - Ceintures urbaines";42.657224;9.423381;"";"";""
"Cinéma";"Morianincu";"20230";"San-Nicolao";"Cinéma";260;1;"5 - Bourgs ruraux";42.37544858;9.52085881;"";"";""
"Cinéma";"Cinema Marcel Pagnol";"30220";"Aigues-Mortes";"Cinéma";168;1;"3 - Petites villes";43.56604338;4.18942516;"";"";""
"Cinéma";"Cinema";"30170";"Durfort-et-Saint-Martin-de-Sossenac";"Cinéma";128;1;"6 - Rural à habitat dispersé";43.990835;3.955297;"";"";""
"Cinéma";"Forum";"30900";"Nîmes";"Cinéma";464;4;"1 - Grands centres urbains";43.837841;4.362383;"";"";""
"Cinéma";"Cap Cinema Nimes";"30900";"Nîmes";"Cinéma";1604;10;"1 - Grands centres urbains";43.83215236;4.36674702;"";"";""
"Cinéma";"Ticky Holgado";"31660";"Bessières";"Cinéma";201;1;"5 - Bourgs ruraux";43.79607012;1.60669112;"";"";""
"Cinéma";"Cine Lumiere";"31350";"Boulogne-sur-Gesse";"Cinéma";221;1;"5 - Bourgs ruraux";43.28640005;0.65580786;"";"";""
"Cinéma";"M J C  Cine 113";"31320";"Castanet-Tolosan";"Cinéma";178;1;"2 - Centres urbains intermédiaires";43.5170413;1.49776756;"";"";""
"Cinéma";"Le Castelia";"31780";"Castelginest";"Cinéma";190;1;"1 - Grands centres urbains";43.69366178;1.42963317;"";"";""
"Cinéma";"Les Capucins";"31220";"Cazères";"Cinéma";237;1;"3 - Petites villes";43.203101;1.083573;"";"";""
"Cinéma";"Kinepolis Fenouillet";"31150";"Fenouillet";"Cinéma";1161;8;"4 - Ceintures urbaines";43.69103588;1.40186916;"";"";""
"Cinéma";"Cine Fronton";"31620";"Fronton";"Cinéma";120;1;"5 - Bourgs ruraux";43.83953258;1.39010853;"";"";""
"Cinéma";"Tempo";"31490";"Léguevin";"Cinéma";252;1;"2 - Centres urbains intermédiaires";43.60013888;1.24016115;"";"";""
"Cinéma";"Cine Get";"31250";"Revel";"Cinéma";193;1;"3 - Petites villes";43.45725265;2.00617039;"";"";""
"Cinéma";"Borderouge Cine";"31000";"Toulouse";"Cinéma";299;3;"1 - Grands centres urbains";43.6398362;1.45181641;"";"";""
"Cinéma";"Cinema Le Metro";"31000";"Toulouse";"Cinéma";130;1;"1 - Grands centres urbains";43.56443651;1.39914914;"";"";""
"Cinéma";"American Cosmograph 1";"31000";"Toulouse";"Cinéma";441;3;"1 - Grands centres urbains";43.60388943;1.44676842;"";"";""
"Cinéma";"Le Cratere";"31000";"Toulouse";"Cinéma";79;1;"1 - Grands centres urbains";43.58891834;1.4459796;"";"";""
"Cinéma";"Cine 32 Gascogne";"32100";"Condom";"Cinéma";273;2;"5 - Bourgs ruraux";43.95693906;0.37514347;"";"";""
"Cinéma";"Olympia";"32600";"L_Isle-Jourdain";"Cinéma";191;2;"3 - Petites villes";43.61427557;1.08214135;"";"";""
"Cinéma";"Le Senechal";"32700";"Lectoure";"Cinéma";174;2;"5 - Bourgs ruraux";43.93476949;0.620371;"";"";""
"Cinéma";"Salle Marie Vermillard";"32140";"Masseube";"Cinéma";153;1;"5 - Bourgs ruraux";43.42733;0.576514;"";"";""
"Cinéma";"Ugc Cine Cite";"33300";"Bordeaux";"Cinéma";2783;18;"1 - Grands centres urbains";44.84056903;-0.58200376;"";"";""
"Cinéma";"Mega Cgr Le Francais";"33300";"Bordeaux";"Cinéma";1900;12;"1 - Grands centres urbains";44.84234172;-0.57890746;"";"";""
"Cinéma";"Salle Lux";"33410";"Cadillac-sur-Garonne";"Cinéma";286;2;"5 - Bourgs ruraux";44.63784046;-0.31922266;"";"";""
"Cinéma";"Max Linder";"33670";"Créon";"Cinéma";189;1;"5 - Bourgs ruraux";44.77320568;-0.34978388;"";"";""
"Cinéma";"Grand Ecran Langon";"33210";"Langon";"Cinéma";993;6;"3 - Petites villes";44.5231;-0.232774;"";"";""
"Cinéma";"Espace Culturel Georges Brassens";"33850";"Léognan";"Cinéma";349;1;"4 - Ceintures urbaines";44.730648;-0.600381;"";"";""
"Cinéma";"Le Trianon";"33820";"Saint-Ciers-sur-Gironde";"Cinéma";225;1;"5 - Bourgs ruraux";45.29063853;-0.60997607;"";"";""
"Cinéma";"Cinema La Breche";"33220";"Sainte-Foy-la-Grande";"Cinéma";515;2;"3 - Petites villes";44.84264285;0.21975102;"";"";""
"Cinéma";"Ugc Talence";"33400";"Talence";"Cinéma";2403;12;"1 - Grands centres urbains";44.81177135;-0.59216652;"";"";""
"Cinéma";"Salle Municipale Claude Plan";"34670";"Baillargues";"Cinéma";200;1;"4 - Ceintures urbaines";43.662182;4.013467;"";"";""
"Cinéma";"Road Movies";"34370";"Cazouls-lès-Béziers";"Cinéma";150;1;"5 - Bourgs ruraux";43.392145;3.103753;"";"";""
"Cinéma";"L Imperial";"34240";"Lamalou-les-Bains";"Cinéma";107;1;"5 - Bourgs ruraux";43.59300793;3.08276971;"";"";""
"Cinéma";"Athenee";"34400";"Lunel";"Cinéma";375;3;"2 - Centres urbains intermédiaires";43.67801251;4.13096274;"";"";""
"Cinéma";"Maison Pour Tous Et Cinema Louis Feuillade";"34090";"Montpellier";"Cinéma";88;1;"1 - Grands centres urbains";43.62431014;3.81808408;"";"";""
"Cinéma";"Cinema Nestor Burma";"34090";"Montpellier";"Cinéma";107;1;"1 - Grands centres urbains";43.61433755;3.82862123;"";"";""
"Cinéma";"Royal Pic Saint Loup";"34980";"Saint-Gély-du-Fesc";"Cinéma";1480;8;"2 - Centres urbains intermédiaires";43.682089;3.806546;"";"";""
"Cinéma";"Le Scenario";"35470";"Bain-de-Bretagne";"Cinéma";294;2;"3 - Petites villes";47.845691;-1.687075;"";"";""
"Cinéma";"La Bobine";"35310";"Bréal-sous-Montfort";"Cinéma";298;2;"3 - Petites villes";48.05002775;-1.86722374;"";"";""
"Cinéma";"Cine Dol";"35120";"Dol-de-Bretagne";"Cinéma";271;2;"5 - Bourgs ruraux";48.546939;-1.753756;"";"";""
"Cinéma";"Le Club";"35300";"Fougères";"Cinéma";1042;6;"2 - Centres urbains intermédiaires";48.34883003;-1.19362842;"";"";""
"Cinéma";"Gaumont";"35000";"Rennes";"Cinéma";2800;13;"1 - Grands centres urbains";48.1060871;-1.67548564;"";"";""
"Cinéma";"La  Grenette";"01000";"Bourg-en-Bresse";"Cinéma";594;3;"2 - Centres urbains intermédiaires";46.20633115;5.22538884;"";"";""
"Cinéma";"Ermitage";"02410";"Saint-Gobain";"Cinéma";281;1;"5 - Bourgs ruraux";49.59687046;3.37812469;"";"";""
"Cinéma";"Korrigan";"35850";"Romillé";"Cinéma";209;1;"5 - Bourgs ruraux";48.21356051;-1.89253331;"";"";""
"Cinéma";"Cineville";"35770";"Vern-sur-Seiche";"Cinéma";1244;6;"2 - Centres urbains intermédiaires";48.06486194;-1.62568376;"";"";""
