CP,NOM,NB_BIBLIO,NB_MONUMENT_BAT,NB_CINEMA,NB_MUSEE,NB_ARCHIVES,Cluster,Cluster_renommés
1000,BOURG-EN-BRESSE,1,1,1,1,1,5,Beaucoup d'archives
1000,SAINT-DENIS-LES-BOURG,1,1,1,1,1,5,Beaucoup d'archives
1090,LURCY,1,1,0,0,0,0,Seulement monuments et bibliothèques
1090,GUEREINS,1,1,0,0,0,0,Seulement monuments et bibliothèques
1090,MONTCEAUX,1,1,0,0,0,0,Seulement monuments et bibliothèques
1090,GENOUILLEUX,1,1,0,0,0,0,Seulement monuments et bibliothèques
1090,MONTMERLE-SUR-SAONE,1,1,0,0,0,0,Seulement monuments et bibliothèques
1100,ARBENT,1,1,1,1,1,5,Beaucoup d'archives
1100,OYONNAX,1,1,1,1,1,5,Beaucoup d'archives
1100,APREMONT,1,1,1,1,1,5,Beaucoup d'archives
1100,BELLIGNAT,1,1,1,1,1,5,Beaucoup d'archives
1100,GROISSIAT,1,1,1,1,1,5,Beaucoup d'archives
1100,MARTIGNAT,1,1,1,1,1,5,Beaucoup d'archives
1100,GEOVREISSET,1,1,1,1,1,5,Beaucoup d'archives
1110,ARANC,1,1,1,0,0,1,Beaucoup de cinémas
1110,BRENOD,1,1,1,0,0,1,Beaucoup de cinémas
1110,CORLIER,1,1,1,0,0,1,Beaucoup de cinémas
1110,CHAMPDOR,1,1,1,0,0,1,Beaucoup de cinémas
1110,PREMILLIEU,1,1,1,0,0,1,Beaucoup de cinémas
1110,HAUTEVILLE-LOMPNES,1,1,1,0,0,1,Beaucoup de cinémas
1120,THIL,1,1,1,0,0,1,Beaucoup de cinémas
1120,PIZAY,1,1,1,0,0,1,Beaucoup de cinémas
1120,DAGNEUX,1,1,1,0,0,1,Beaucoup de cinémas
1120,NIEVROZ,1,1,1,0,0,1,Beaucoup de cinémas
1120,MONTLUEL,1,1,1,0,0,1,Beaucoup de cinémas
1130,GIRON,1,1,1,1,0,2,Musée Cinémas
1130,CHARIX,1,1,1,1,0,2,Musée Cinémas
1130,NANTUA,1,1,1,1,0,2,Musée Cinémas
1130,PLAGNE,1,1,1,1,0,2,Musée Cinémas
1130,ECHALLON,1,1,1,1,0,2,Musée Cinémas
1130,BELLEYDOUX,1,1,1,1,0,2,Musée Cinémas
1130,LALLEYRIAT,1,1,1,1,0,2,Musée Cinémas
1130,SAINT-GERMAIN-DE-JOUX,1,1,1,1,0,2,Musée Cinémas
1140,ILLIAT,1,1,0,0,0,0,Seulement monuments et bibliothèques
1140,VALEINS,1,1,0,0,0,0,Seulement monuments et bibliothèques
1140,THOISSEY,1,1,0,0,0,0,Seulement monuments et bibliothèques
1140,GARNERANS,1,1,0,0,0,0,Seulement monuments et bibliothèques
1140,MOGNENEINS,1,1,0,0,0,0,Seulement monuments et bibliothèques
1140,PEYZIEUX-SUR-SAONE,1,1,0,0,0,0,Seulement monuments et bibliothèques
