"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Les cafés littéraires de Montélimar";"26200";44.55408457;4.74869388;"http://lescafeslitteraires.fr";"Livre";"MONTELIMAR"
"Présence(s) Photographie";"26200";44.55408457;4.74869388;"http://www.presences-photographie.fr/";"Arts visuels";"MONTELIMAR"
"Salon du livre jeunesse de Montigny-lès-Metz";"57950";49.09531991;6.154526;"http://salondulivrejeunesse.montigny-les-metz.fr/";"Livre";"MONTIGNY-LES-METZ"
"Festival de Cinéma de Montmirail";"72320";48.88028691;3.56048556;"non renseigne";"Cinéma";"MONTMIRAIL"
"Montrouge-Paris Guitar Festival";"92120";48.81530322;2.31648921;"parisguitarfestival.com";"Musique";"MONTROUGE"
"Festival des vents";"84310";43.93377888;4.90875878;"www.festivaldesvents.com";"Musique";"MORIERES-LES-AVIGNON"
"Festival Beauregard";"14200";49.20735606;-0.33102263;"https://www.festivalbeauregard.com/";"Musique";"HEROUVILLE-SAINT-CLAIR"
"Projets pour la vallée festival de contes de la vallée de Munsterrallée de Munster ( 68)";"68140";48.04485142;7.14149744;"www.valleedescontes.org";"Spectacle vivant";"MUNSTER"
"Festival de musique de chambre de Mus";"30121";43.73715472;4.20278683;"musicadomitia.free.fr";"Musique";"MUS"
"6 Week-Ends d Art Contemporain";"54000";48.69019955;6.17588254;"non renseigne";"Arts visuels";"NANCY"
"Biennale International de l Image";"54000";48.69019955;6.17588254;"non renseigne";"Arts visuels";"NANCY"
"Ma vigne en musique";"11100";43.16523999;3.02023869;"https://www.narbonne-classic-festival.fr/";"Musique";"NARBONNE"
"Les zaccros d ma rue";"58000";46.98811949;3.15689131;"www.zaccros.org";"Spectacle vivant";"NEVERS"
"Festival de l imaginaire du pays d Aix";"13410";43.66152177;5.25191447;"mediatheque.lambesc.fr";"Livre";"LAMBESC"
"Afrique Unie";"75011";48.8594155;2.37874106;"https://www.salonafriqueunie.com/";"Musique";"PARIS"
"BitterSweet (paradise)";"75009";48.8567;2.3508;"www.baladessonores.com";"Musique";"PARIS"
"Grand Poetry Slam";"75020";48.8567;2.3508;"non renseigne";"Musique";"PARIS"
