"TYPE_DOMAINE";"SOUS_TYPE";"NOM";"URL";"LATTI";"LONGI";"JAUGE";"COMMUNE";"CP";"GCD";"ORGANISME";"Public"
"Theatre";"Danse.Musique.Theatre";"Maison de la Culture d Amiens - Pôle européen de création et de production";"";49.89371079;2.29288138;1366;"Amiens";"80000";"1 - Grands centres urbains";"";""
"Theatre";"Danse.Musique.Theatre";"Granit-La Coopérative";"";47.63434555;6.85202935;110;"Belfort";"90000";"1 - Grands centres urbains";"";""
"Theatre";"Danse.Musique.Theatre";"Points communs Nouvelle scène nationale Cergy-Pontoise / Val d Oise";"";49.03392474;2.08167631;319;"Cergy";"95800";"1 - Grands centres urbains";"";""
"Theatre";"Danse.Musique.Theatre";"Points communs Nouvelle scène nationale Cergy-Pontoise / Val d Oise-Théâtre des Louvrais";"";49.05881757;2.0895941;528;"Ennery";"95300";"1 - Grands centres urbains";"";""
"Theatre";"Danse.Musique.Theatre";"Artchipel";"";15.993362;-61.726972;662;"Basse-Terre";"97100";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"Art cade";"";43.12563878;1.17463769;;"Sainte-Croix-Volvestre";"09230";"7 - Rural à habitat très dispersé";"";""
"Theatre";"Musique";"Les Bains Douches";"";46.75056666;2.17662783;;"Lignières";"18160";"5 - Bourgs ruraux";"";""
"Theatre";"Musique";"des Lendemains Qui Chantent";"";45.280697;1.786088;;"Tulle";"19000";"3 - Petites villes";"";""
"Theatre";"Musique";"Bonjour Minuit";"";48.51954935;-2.78517195;;"Saint-Brieuc";"22000";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"La Rodia";"";47.2331;6.03784;;"Besançon";"25000";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Paloma";"";43.85520078;4.40528711;;"Nîmes";"30900";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Aréma Rock Et Chanson";"";44.79283658;-0.58635413;;"Talence";"33400";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Le Pannonica";"";47.22082677;-1.55841321;;"Nantes";"44000";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Le Vip";"";47.27465212;-2.21106446;;"Saint-Nazaire";"44600";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"Le Florida";"";44.20297052;0.62040366;;"Agen";"47000";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"La Cartonnerie";"";49.268342;4.03578611;;"Reims";"51100";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"L orange Bleue";"";48.72646945;4.57957893;;"Vitry-le-François";"51300";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"La Gespe";"";43.22590999;0.05827736;;"Tarbes";"65000";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"Le Tétris";"";49.503604;0.122056;;"Le_Havre";"76620";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"La Clef";"";48.89426943;2.08830331;;"Saint-Germain-en-Laye";"78112";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Camji";"";46.321564;-0.450238;;"Niort";"79000";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"Le Rio Grande";"";44.01554433;1.34556549;;"Montauban";"82000";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Musique";"Le Confort Moderne";"";46.5733747;0.36020104;;"Poitiers";"86000";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Espace Michel Berger (Emb)";"";48.973034;2.264626;;"Sannois";"95110";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"Le Kabardock";"";-20.94039417;55.29401279;;"Le_Port";"97420";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Palène";"";45.77469778;-0.06747745;1160;"Val-d_Auge";"16170";"7 - Rural à habitat très dispersé";"";""
"Theatre";"Théâtre";"Chartreuse - Centre national des écritures du spectacle";"";43.9659351;4.79626602;270;"Villeneuve-lès-Avignon";"30400";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Garonne";"";43.60277995;1.42547779;255;"Toulouse";"31000";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"CPPC – Théâtre L Aire Libre";"";48.06763937;-1.72125027;300;"Saint-Jacques-de-la-Lande";"35136";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Cité Musicale de Metz - L Arsenal";"";49.11468986;6.17010842;1906;"Metz";"57070";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Condition publique";"";50.69070627;3.1895356;364;"Roubaix";"59100";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Virgule Centre Transfrontalier de Création Théâtrale";"";50.71159011;3.1585884;81;"Tourcoing";"59200";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Gaîté Lyrique";"";48.86677712;2.35381666;312;"Paris";"75003";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Mouffetard - Théâtre des arts de la marionnette";"";48.84221369;2.35000834;230;"Paris";"75005";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Maison des Cultures du Monde";"";48.84633961;2.32854601;380;"Paris";"75006";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Claude Lévi-Strauss";"";48.860285;2.295461;701;"Paris";"75007";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Maison des Métallos";"";48.86756794;2.37778692;466;"Paris";"75011";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Espace Paris Plaine - Théâtre Jeune public";"";48.82802695;2.29331997;282;"Paris";"75015";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Bords de Scènes-Salle Lino Ventura";"";48.70965566;2.38726488;;"Athis-Mons";"91200";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Lilas en scène";"";48.87610576;2.4134792;50;"Les_Lilas";"93260";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre National de Strasbourg";"";48.58608744;7.75518087;800;"Strasbourg";"67100";"1 - Grands centres urbains";"";""
"Theatre";"Danse.Musique.Theatre";"Opéra comique";"";48.87104511;2.33812791;;"Paris";"75002";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Comédie-Française-Studio-Théâtre";"";48.861023;2.333986;136;"Paris";"75001";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Comédie-Française";"";48.86352812;2.33616293;862;"Paris";"75001";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre des Salinières";"";44.83703806;-0.57061006;280;"Bordeaux";"33300";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre des Bouffes parisiens";"";48.8683517;2.33545488;668;"Paris";"75002";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre de Nesle";"";48.85523541;2.3390906;120;"Paris";"75006";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Michel";"";48.87338622;2.32548805;336;"Paris";"75008";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Trévise";"";48.87346955;2.34529027;270;"Paris";"75009";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre des Variétés";"";48.87178631;2.34241299;928;"Paris";"75009";"1 - Grands centres urbains";"";""
